ticket,symbol,direction,entry_price,exit_price,size,pnl,open_time,close_time,reason,entry_reason,origin_id,tf
83,BTCUSDT,BEARISH,9250.849999999999,9459.71,0.9531064227018307,-199.0658074455049,2020-06-26 05:00:00,2020-07-08 13:30:00,Stop Loss,H1#123594b8c8c6 D1 Inertial Flow (Liberated) [T2],2a5ae04cb30b,H1
86,BTCUSDT,BEARISH,9125.505,9334.13,0.9315441072227113,-194.34338936933815,2020-07-17 06:00:00,2020-07-21 07:30:00,Stop Loss,H1#42677da75c4d D1 Inertial Flow (Liberated) [T2],ef191052b9c7,H1
87,BTCUSDT,BEARISH,9128.99,9328.99,0.9717169468466907,-194.34338936933815,2020-07-17 06:00:00,2020-07-21 07:30:00,Stop Loss,M30#776d4f4d551c D1 Inertial Flow (Liberated) [T3],ef191052b9c7,M30
79,BTCUSDT,BEARISH,9285.66,9498.71,0.9343619218282355,-199.0658074455049,2020-06-25 08:00:00,2020-07-22 22:30:00,Stop Loss,H1#d79533d836a8 D1 Inertial Flow (Liberated) [T2],2a5ae04cb30b,H1
80,BTCUSDT,BEARISH,9313.64,9513.64,0.9953290372275245,-199.0658074455049,2020-06-25 08:30:00,2020-07-22 22:30:00,Stop Loss,M30#1716bac9b8df D1 Inertial Flow (Liberated) [T3],2a5ae04cb30b,M30
81,BTCUSDT,BEARISH,9285.415,9500.65,0.9248765648965366,-199.0658074455049,2020-06-26 00:30:00,2020-07-22 22:30:00,Stop Loss,H1#df8d7cc2cbd8 D1 Inertial Flow (Liberated) [T2],2a5ae04cb30b,H1
82,BTCUSDT,BEARISH,9267.825,9480.67,0.9352618452183773,-199.0658074455049,2020-06-26 04:30:00,2020-07-22 22:30:00,Stop Loss,H1#0d69fae268b6 D1 Inertial Flow (Liberated) [T2],2a5ae04cb30b,H1
92,BTCUSDT,BULLISH,11074.215,10834.08,0.7599637257548089,-182.4938892841312,2020-07-29 23:00:00,2020-07-30 13:00:00,Stop Loss,H1#4edc0dcdbc09 D1 Inertial Flow (Liberated) [T2],0317c07e2000,H1
93,BTCUSDT,BULLISH,11085.84,10885.84,0.912469446420656,-182.4938892841312,2020-07-29 23:00:00,2020-07-30 13:00:00,Stop Loss,M30#7c1be6127fd1 D1 Inertial Flow (Liberated) [T3],0317c07e2000,M30
73,BTCUSDT,BULLISH,8398.895,10826.41,0.6119655274359803,1485.5554973337535,2020-05-11 16:30:00,2020-08-02 04:30:00,Stop Loss,H1#b5d27dd6d911 D1 Inertial Flow (Liberated) [T2],161520546b6e,H1
75,BTCUSDT,BULLISH,8600.19,10826.41,0.9953290372275245,2215.821409256659,2020-05-12 02:30:00,2020-08-02 04:30:00,Stop Loss,M30#7d484ac0b0f0 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
76,BTCUSDT,BULLISH,8633.55,10826.41,0.9953290372275245,2182.6172325747502,2020-05-12 08:00:00,2020-08-02 04:30:00,Stop Loss,M30#1c0eb833b500 D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
77,BTCUSDT,BULLISH,8746.64,10826.41,0.9953290372275245,2070.0554717546893,2020-05-12 11:30:00,2020-08-02 04:30:00,Stop Loss,M30#f9bc138a3b6f D1 Inertial Flow (Liberated) [T3],161520546b6e,M30
91,BTCUSDT,BULLISH,10345.95,10495.95,0.6602767440360736,99.04151160541105,2020-07-27 16:00:00,2020-08-02 04:30:00,Stop Loss,H1#42520b77a415 D1 Inertial Flow (Liberated) [T2],0317c07e2000,H1
94,BTCUSDT,BULLISH,11130.69,10742.01,0.46013175748288676,-178.84401149844857,2020-07-31 08:00:00,2020-08-02 04:30:00,Stop Loss,H4#6efab124cf40 D1 Inertial Flow (Liberated) [T1],0317c07e2000,H4
95,BTCUSDT,BULLISH,11126.96,10926.96,0.8942200574922429,-178.84401149844857,2020-07-31 13:30:00,2020-08-02 04:30:00,Stop Loss,M30#668e507fad7e D1 Inertial Flow (Liberated) [T3],0317c07e2000,M30
90,BTCUSDT,BULLISH,10303.99,10453.99,0.912469446420656,136.8704169630984,2020-07-27 15:00:00,2020-09-03 15:30:00,Stop Loss,M30#5075092ef0ce D1 Inertial Flow (Liberated) [T3],0317c07e2000,M30
88,BTCUSDT,BULLISH,9979.15,10129.15,0.36653455438777927,54.98018315816689,2020-07-27 00:00:00,2020-09-03 23:00:00,Stop Loss,H4#5143af3c3854 D1 Inertial Flow (Liberated) [T1],0317c07e2000,H4
89,BTCUSDT,BULLISH,10171.509999999998,10321.509999999998,0.5969509969714164,89.54264954571246,2020-07-27 07:30:00,2020-09-03 23:00:00,Stop Loss,H1#32489106ce2a D1 Inertial Flow (Liberated) [T2],0317c07e2000,H1
100,BTCUSDT,BULLISH,13622.885,13395.77,1.1386829359152955,-258.6119749904021,2020-10-27 21:00:00,2020-10-28 11:00:00,Stop Loss,H1#6901dc7cbbf6 D1 Inertial Flow (Liberated) [T2],0317c07e2000,H1
101,BTCUSDT,BULLISH,13568.0,13368.0,1.2930598749520104,-258.6119749904021,2020-10-27 23:30:00,2020-10-28 11:00:00,Stop Loss,M30#c878ebd3ffcc D1 Inertial Flow (Liberated) [T3],0317c07e2000,M30
99,BTCUSDT,BULLISH,13387.165,13183.48,1.2696662738562015,-258.6119749904021,2020-10-27 15:00:00,2020-10-28 12:30:00,Stop Loss,H1#c25618975c9c D1 Inertial Flow (Liberated) [T2],0317c07e2000,H1
106,BTCUSDT,BULLISH,13708.99,13508.99,1.25426807870345,-250.85361574068997,2020-11-01 00:00:00,2020-11-02 08:30:00,Stop Loss,M30#2f2988c3c84a D1 Inertial Flow (Liberated) [T3],0317c07e2000,M30
107,BTCUSDT,BULLISH,13700.7,13481.39,1.1438311784263757,-250.85361574068995,2020-11-01 22:30:00,2020-11-02 08:30:00,Stop Loss,H1#e4e79b196aa5 D1 Inertial Flow (Liberated) [T2],0317c07e2000,H1
108,BTCUSDT,BULLISH,13681.39,13481.39,1.25426807870345,-250.85361574068997,2020-11-01 22:30:00,2020-11-02 08:30:00,Stop Loss,M30#807c24a79b14 D1 Inertial Flow (Liberated) [T3],0317c07e2000,M30
105,BTCUSDT,BULLISH,13556.6,13356.6,1.25426807870345,-250.85361574068997,2020-10-31 10:00:00,2020-11-02 12:00:00,Stop Loss,M30#01de59bd6cc6 D1 Inertial Flow (Liberated) [T3],0317c07e2000,M30
